UID        PID  PPID  C STIME TTY          TIME CMD
user      2068  1903  0 13:14 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
user      2069  1903  0 13:14 ?        00:00:00 gnome-session --session=ubuntu
user      2074  2068  0 13:14 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
user      2076  1903  0 13:14 ?        00:00:05 /usr/lib/unity/unity-panel-service
user      2081  1903  0 13:14 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
user      2089  1903  0 13:14 ?        00:00:00 /usr/lib/gvfs/gvfsd
user      2093  1903  0 13:14 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
user      2111  2025  0 13:14 ?        00:00:00 /usr/lib/ibus/ibus-dconf
user      2113  2025  0 13:14 ?        00:00:02 /usr/lib/ibus/ibus-ui-gtk3
user      2115  1903  0 13:14 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
user      2134  2025  0 13:14 ?        00:00:01 /usr/lib/ibus/ibus-engine-simple
user      2142  1903  0 13:14 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
colord    2151     1  0 13:14 ?        00:00:00 /usr/lib/colord/colord
root      2152     2  0 13:14 ?        00:00:00 [kworker/0:2]
user      2160  1903  0 13:14 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
root      2168     1  0 13:14 ?        00:00:00 /usr/sbin/cupsd -f
user      2176  1903  0 13:14 ?        00:00:00 /usr/lib/dconf/dconf-service
user      2184  1903  0 13:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
lp        2186  2168  0 13:14 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
lp        2187  2168  0 13:14 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
user      2198  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
user      2200  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
user      2202  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
user      2207  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
user      2212  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
user      2213  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
user      2219  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
user      2222  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
user      2253  1903  0 13:15 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
user      2258  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
root      2291     1  0 13:15 ?        00:00:00 tpvmlpd2
user      2344  2069  1 13:15 ?        00:00:30 compiz
user      2355  1903  0 13:15 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
user      2358  2069  0 13:15 ?        00:00:00 nm-applet
user      2363  2069  0 13:15 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
user      2366  2069  0 13:15 ?        00:00:02 nautilus -n
user      2370  2069  0 13:15 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
user      2374  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
user      2389  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2400     1  0 13:15 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
user      2412  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
user      2416  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
user      2420  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
lp        2433  2168  0 13:15 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
user      2445  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
user      2457  1903  0 13:15 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
user      2499  2069  0 13:15 ?        00:00:00 telepathy-indicator
user      2506  1903  0 13:15 ?        00:00:00 /usr/lib/telepathy/mission-control-5
user      2653  1903  0 13:15 ?        00:00:00 /usr/bin/zeitgeist-daemon
user      2660  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
user      2662  1903  0 13:15 ?        00:00:00 zeitgeist-datahub
user      2687  2660  0 13:15 ?        00:00:00 /bin/cat
user      3818  1903  0 13:15 ?        00:00:00 /usr/lib/eclipse/eclipse
user      5373  3818  5 13:15 ?        00:02:08 /usr/bin/java -Xms40m -Xmx384m -Dorg.eclipse.equinox.p2.reconciler.dropins.directory=/usr/share/eclipse/dropins -XX:MaxPermSize=256m -jar /usr/lib/eclipse//plugins/org.eclipse.equinox.launcher_1.3.0.dist.jar -os linux -ws gtk -arch x86_64 -showsplash /usr/lib/eclipse//plugins/org.eclipse.platform_3.8.1.dist/splash.bmp -launcher /usr/lib/eclipse/eclipse -name Eclipse --launcher.library /usr/lib/eclipse//plugins/org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.200.dist/eclipse_1503.so -startup /usr/lib/eclipse//plugins/org.eclipse.equinox.launcher_1.3.0.dist.jar --launcher.overrideVmargs -exitdata 120001 -vm /usr/bin/java -vmargs -Xms40m -Xmx384m -Dorg.eclipse.equinox.p2.reconciler.dropins.directory=/usr/share/eclipse/dropins -XX:MaxPermSize=256m -jar /usr/lib/eclipse//plugins/org.eclipse.equinox.launcher_1.3.0.dist.jar
user      7107  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
user      7505  1903  0 13:15 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
user      7506  1903  0 13:15 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
user      8717  1903  0 13:15 ?        00:00:03 gnome-terminal
user      8725  8717  0 13:15 ?        00:00:00 gnome-pty-helper
user      8726  8717  0 13:15 pts/0    00:00:00 bash
root      8955     1  0 13:16 ?        00:00:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
user      8967  1903  0 13:16 ?        00:00:03 /usr/lib/vmware-tools/sbin64/vmtoolsd -n vmusr --blockFd 3
user      9160  2069  0 13:16 ?        00:00:00 update-notifier
user      9212  2069  0 13:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      9726     2  0 13:33 ?        00:00:00 [kworker/u128:1]
user      9872  1903  0 13:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
user      9878  1903  0 13:40 ?        00:00:01 gedit /home/user/z0p1/homework5/fork2.c
user     10313  5373  0 13:57 ?        00:00:00 /home/user/z0p1/homework8/Debug/homework8
user     10322  8726  0 13:57 pts/0    00:00:00 ps -ef
